#easy1
0,0;1,0|0,1;none
0,1;0,0|0,2;none
0,2;0,1;rat
1,0;0,0|2,0;none
1,1;;none
1,2;;none
2,0;1,0;none
2,1;;none
2,2;;none
#easy2
0,0;0,1;none
0,1;0,0|1,1;none
0,2;;none
1,0;;none
1,1;0,1|2,1|1,2;none
1,2;1,1;rat
2,0;;none
2,1;1,1;none
2,2;;none
#easy3
0,0;1,0;none
0,1;;none
0,2;;none
1,0;0,0|2,0;none
1,1;;none
1,2;;none
2,0;1,0|2,1;none
2,1;2,0|2,2;none
2,2;2,1;rat
#medium1
0,0;1,0;none
0,1;;none
0,2;;none
1,0;0,0|1,1;none
1,1;1,0|2,1|1,2;none
1,2;1,1|2,2;rat
2,0;;none
2,1;1,1|2,2;none
2,2;1,2|2,1;goblin
#medium2
0,0;0,1;none
0,1;0,0|1,1;none
0,2;;none
1,0;;none
1,1;0,1|2,1|1,2;none
1,2;1,1|2,2;none
2,0;;none
2,1;1,1|2,2;goblin
2,2;1,2|2,1;rat
#hard
0,0;0,1;none
0,1;0,0|0,2;none
0,2;0,1|1,2;none
1,0;;none
1,1;;none
1,2;0,2|2,2;skeleton
2,0;;none
2,1;2,2;goblin
2,2;1,2|2,1;none
#final
0,0;1,0|0,1;none
0,1;0,0|1,1|0,2;rat
0,2;0,1|1,2;none
1,0;0,0|2,0|1,1;none
1,1;0,1|1,0|2,1|1,2;dragon
1,2;0,2|1,1|2,2;none
2,0;1,0|2,1;rat
2,1;1,1|2,0|2,2;none
2,2;1,2|2,1;none
